"","date","eventData","avgTemp","tempDept","precipitation","humidity","barometer","dewPoint","avgWind","maxWind","windDirection","sunrise","sunset"
"239","08-26","",72,3.4,0,70,29.18,60,4.1,20,270,557,1922
"240","08-27","TS,RA,BR",70,1.6,0.38,85,29.18,65,6.4,28,310,558,1920
"241","08-28","BR",76,7.9,0,77,29.23,67,4.9,21,280,559,1918
"242","08-29","BR,HZ",73,5.1,0,74,29.31,64,2.6,14,100,601,1917
"243","08-30","TS,RA,BR",76,8.3,0.05,77,29.2,66,5.5,18,260,602,1915
"244","08-31","TS,RA,BR,HZ",69,1.6,0.17,72,29.1,61,6.9,19,20,603,1913
"245","09-01","",64,-3.2,0,71,29.2,54,8,23,10,604,1911
"246","09-02","",62,-4.9,0,70,29.32,52,6.3,19,40,605,1910
"247","09-03","",63,-3.6,0,72,29.3,53,2.5,13,100,606,1908
"248","09-04","FG,BR",64,-2.3,0,68,29.29,55,4.2,16,130,607,1906
"249","09-05","",72,6,0,65,29.23,61,7.7,23,180,608,1905
"250","09-06","",82,16.3,0,70,29.15,70,10.6,23,240,609,1903
"251","09-07","TS,RA,BR",78,12.7,0.23,82,29.07,71,5.4,21,300,610,1901
"252","09-08","RA,BR",74,9,0.27,85,28.92,69,9.7,28,280,611,1859
"253","09-09","RA,FG,BR",72,7.4,0.04,83,29.03,67,3.4,13,190,612,1857
"254","09-10","RA,BR,HZ",66,1.7,0.22,82,28.9,61,10.7,39,270,613,1856
"255","09-11","",62,-1.9,0,66,29.21,50,4.3,12,310,615,1854
"256","09-12","",65,1.5,0,64,29.21,52,7.9,23,170,616,1852
"257","09-13","TS",70,6.9,0,72,29.13,59,7.4,27,100,617,1850
"258","09-14","RA",64,1.3,0.03,70,29.28,53,6,17,360,618,1849
"259","09-15","",61,-1.3,0,67,29.33,49,3.8,23,60,619,1847
"260","09-16","",66,4.1,0,67,29.15,56,9.4,21,180,620,1845
"261","09-17","RA,BR",71,9.5,0.64,83,28.98,64,8.6,20,220,621,1843
"262","09-18","BR",68,6.9,0,77,29.03,59,4.2,18,290,622,1841
